GEO,EPSG
Makassar (Jakarta),4804
MGI (Ferro),4805
Monte Mario (Rome),4806
NTF (Paris),4807
Padang (Jakarta),4808
Belge 1950 (Brussels),4809
Tananarive (Paris),4810
Voirol 1875 (Paris),4811
Batavia (Jakarta),4813
RT38 (Stockholm),4814
Greek (Athens),4815
Carthage (Paris),4816
NGO 1948 (Oslo),4817
S-JTSK (Ferro),4818
Nord Sahara 1959 (Paris),4819
Segara (Jakarta),4820
Voirol 1879 (Paris),4821
Sao Tome,4823
Principe,4824
ATF (Paris),4901
NDG (Paris),4902
Madrid 1870 (Madrid),4903
Lisbon 1890 (Lisbon),4904
PTRA08,5013
Tokyo 1892,5132
S-JTSK/05,5228
S-JTSK/05 (Ferro),5229
SLD99,5233
GDBD2009,5246
TUREF,5252
DRUKREF 03,5264
ISN2004,5324
POSGAR 2007,5340
MARGEN,5354
SIRGAS-Chile,5360
CR05,5365
MACARIO SOLIS,5371
Peru96,5373
SIRGAS-ROU98,5381
SIRGAS_ES2007.8,5393
Ocotepeque 1935,5451
Sibun Gorge 1922,5464
Panama-Colon 1911,5467
RGAF09,5489
GCS_North_American_1983,5498
NAD83(HARN),5499
NAD83(NSRS2007),5500
Corrego Alegre 1961,5524
SAD69(96),5527
PNG94,5546
Ukraine 2000,5561
FEH2010,5593
SWEREF99,5628
DB_REF,5681
NTF (Paris),7400
RT90,7404
GCS_North_American_1927,7406
Amersfoort,7408
ETRS89,7409
PSD93,7410
Tokyo,7414
ETRS89,7423
