EPSG,ESRI
2011,"PROJCS[""NAD27_CGQ77_SCoPQ_zone_5"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-64.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2012,"PROJCS[""NAD27_CGQ77_SCoPQ_zone_6"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-67.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2013,"PROJCS[""NAD27_CGQ77_SCoPQ_zone_7"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-70.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2014,"PROJCS[""NAD27_CGQ77_SCoPQ_zone_8"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-73.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2015,"PROJCS[""NAD27_CGQ77_SCoPQ_zone_9"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-76.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2016,"PROJCS[""NAD27_CGQ77_SCoPQ_zone_10"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-79.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2017,"PROJCS[""NAD27_76_MTM_zone_8"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-73.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2018,"PROJCS[""NAD27_76_MTM_zone_9"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-76.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2019,"PROJCS[""NAD27_76_MTM_zone_10"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-79.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2020,"PROJCS[""NAD27_76_MTM_zone_11"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-82.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
