EPSG,ESRI
2821,"PROJCS[""NAD83_HARN_Nevada_Central"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",34.75],PARAMETER[""central_meridian"",-116.6666666666667],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",6000000],UNIT[""Meter"",1]]"
2822,"PROJCS[""NAD83_HARN_Nevada_West"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",34.75],PARAMETER[""central_meridian"",-118.5833333333333],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",800000],PARAMETER[""false_northing"",4000000],UNIT[""Meter"",1]]"
2823,"PROJCS[""NAD83_HARN_New_Hampshire"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",42.5],PARAMETER[""central_meridian"",-71.66666666666667],PARAMETER[""scale_factor"",0.999966667],PARAMETER[""false_easting"",300000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2824,"PROJCS[""NAD83_HARN_New_Jersey"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",38.83333333333334],PARAMETER[""central_meridian"",-74.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",150000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2825,"PROJCS[""NAD83_HARN_New_Mexico_East"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-104.3333333333333],PARAMETER[""scale_factor"",0.999909091],PARAMETER[""false_easting"",165000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2826,"PROJCS[""NAD83_HARN_New_Mexico_Central"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-106.25],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2827,"PROJCS[""NAD83_HARN_New_Mexico_West"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-107.8333333333333],PARAMETER[""scale_factor"",0.999916667],PARAMETER[""false_easting"",830000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2828,"PROJCS[""NAD83_HARN_New_York_East"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",38.83333333333334],PARAMETER[""central_meridian"",-74.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",150000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2829,"PROJCS[""NAD83_HARN_New_York_Central"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",40],PARAMETER[""central_meridian"",-76.58333333333333],PARAMETER[""scale_factor"",0.9999375],PARAMETER[""false_easting"",250000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2830,"PROJCS[""NAD83_HARN_New_York_West"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",40],PARAMETER[""central_meridian"",-78.58333333333333],PARAMETER[""scale_factor"",0.9999375],PARAMETER[""false_easting"",350000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2831,"PROJCS[""NAD83_HARN_New_York_Long_Island"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",41.03333333333333],PARAMETER[""standard_parallel_2"",40.66666666666666],PARAMETER[""latitude_of_origin"",40.16666666666666],PARAMETER[""central_meridian"",-74],PARAMETER[""false_easting"",300000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2832,"PROJCS[""NAD83_HARN_North_Dakota_North"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",48.73333333333333],PARAMETER[""standard_parallel_2"",47.43333333333333],PARAMETER[""latitude_of_origin"",47],PARAMETER[""central_meridian"",-100.5],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2833,"PROJCS[""NAD83_HARN_North_Dakota_South"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",47.48333333333333],PARAMETER[""standard_parallel_2"",46.18333333333333],PARAMETER[""latitude_of_origin"",45.66666666666666],PARAMETER[""central_meridian"",-100.5],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2834,"PROJCS[""NAD83_HARN_Ohio_North"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",41.7],PARAMETER[""standard_parallel_2"",40.43333333333333],PARAMETER[""latitude_of_origin"",39.66666666666666],PARAMETER[""central_meridian"",-82.5],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2835,"PROJCS[""NAD83_HARN_Ohio_South"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",40.03333333333333],PARAMETER[""standard_parallel_2"",38.73333333333333],PARAMETER[""latitude_of_origin"",38],PARAMETER[""central_meridian"",-82.5],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2836,"PROJCS[""NAD83_HARN_Oklahoma_North"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",36.76666666666667],PARAMETER[""standard_parallel_2"",35.56666666666667],PARAMETER[""latitude_of_origin"",35],PARAMETER[""central_meridian"",-98],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2837,"PROJCS[""NAD83_HARN_Oklahoma_South"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",35.23333333333333],PARAMETER[""standard_parallel_2"",33.93333333333333],PARAMETER[""latitude_of_origin"",33.33333333333334],PARAMETER[""central_meridian"",-98],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2838,"PROJCS[""NAD83_HARN_Oregon_North"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",46],PARAMETER[""standard_parallel_2"",44.33333333333334],PARAMETER[""latitude_of_origin"",43.66666666666666],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2839,"PROJCS[""NAD83_HARN_Oregon_South"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",44],PARAMETER[""standard_parallel_2"",42.33333333333334],PARAMETER[""latitude_of_origin"",41.66666666666666],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",1500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2840,"PROJCS[""NAD83_HARN_Rhode_Island"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",41.08333333333334],PARAMETER[""central_meridian"",-71.5],PARAMETER[""scale_factor"",0.99999375],PARAMETER[""false_easting"",100000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2841,"PROJCS[""NAD83_HARN_South_Dakota_North"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",45.68333333333333],PARAMETER[""standard_parallel_2"",44.41666666666666],PARAMETER[""latitude_of_origin"",43.83333333333334],PARAMETER[""central_meridian"",-100],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2842,"PROJCS[""NAD83_HARN_South_Dakota_South"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",44.4],PARAMETER[""standard_parallel_2"",42.83333333333334],PARAMETER[""latitude_of_origin"",42.33333333333334],PARAMETER[""central_meridian"",-100.3333333333333],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2843,"PROJCS[""NAD83_HARN_Tennessee"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",36.41666666666666],PARAMETER[""standard_parallel_2"",35.25],PARAMETER[""latitude_of_origin"",34.33333333333334],PARAMETER[""central_meridian"",-86],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2844,"PROJCS[""NAD83_HARN_Texas_North"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",36.18333333333333],PARAMETER[""standard_parallel_2"",34.65],PARAMETER[""latitude_of_origin"",34],PARAMETER[""central_meridian"",-101.5],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",1000000],UNIT[""Meter"",1]]"
2845,"PROJCS[""NAD83_HARN_Texas_North_Central"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",33.96666666666667],PARAMETER[""standard_parallel_2"",32.13333333333333],PARAMETER[""latitude_of_origin"",31.66666666666667],PARAMETER[""central_meridian"",-98.5],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",2000000],UNIT[""Meter"",1]]"
2846,"PROJCS[""NAD83_HARN_Texas_Central"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",31.88333333333333],PARAMETER[""standard_parallel_2"",30.11666666666667],PARAMETER[""latitude_of_origin"",29.66666666666667],PARAMETER[""central_meridian"",-100.3333333333333],PARAMETER[""false_easting"",700000],PARAMETER[""false_northing"",3000000],UNIT[""Meter"",1]]"
2847,"PROJCS[""NAD83_HARN_Texas_South_Central"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",30.28333333333333],PARAMETER[""standard_parallel_2"",28.38333333333333],PARAMETER[""latitude_of_origin"",27.83333333333333],PARAMETER[""central_meridian"",-99],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",4000000],UNIT[""Meter"",1]]"
2848,"PROJCS[""NAD83_HARN_Texas_South"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",27.83333333333333],PARAMETER[""standard_parallel_2"",26.16666666666667],PARAMETER[""latitude_of_origin"",25.66666666666667],PARAMETER[""central_meridian"",-98.5],PARAMETER[""false_easting"",300000],PARAMETER[""false_northing"",5000000],UNIT[""Meter"",1]]"
2849,"PROJCS[""NAD83_HARN_Utah_North"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",41.78333333333333],PARAMETER[""standard_parallel_2"",40.71666666666667],PARAMETER[""latitude_of_origin"",40.33333333333334],PARAMETER[""central_meridian"",-111.5],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",1000000],UNIT[""Meter"",1]]"
2850,"PROJCS[""NAD83_HARN_Utah_Central"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",40.65],PARAMETER[""standard_parallel_2"",39.01666666666667],PARAMETER[""latitude_of_origin"",38.33333333333334],PARAMETER[""central_meridian"",-111.5],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",2000000],UNIT[""Meter"",1]]"
2851,"PROJCS[""NAD83_HARN_Utah_South"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",38.35],PARAMETER[""standard_parallel_2"",37.21666666666667],PARAMETER[""latitude_of_origin"",36.66666666666666],PARAMETER[""central_meridian"",-111.5],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",3000000],UNIT[""Meter"",1]]"
2852,"PROJCS[""NAD83_HARN_Vermont"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",42.5],PARAMETER[""central_meridian"",-72.5],PARAMETER[""scale_factor"",0.999964286],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2853,"PROJCS[""NAD83_HARN_Virginia_North"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",39.2],PARAMETER[""standard_parallel_2"",38.03333333333333],PARAMETER[""latitude_of_origin"",37.66666666666666],PARAMETER[""central_meridian"",-78.5],PARAMETER[""false_easting"",3500000],PARAMETER[""false_northing"",2000000],UNIT[""Meter"",1]]"
2854,"PROJCS[""NAD83_HARN_Virginia_South"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",37.96666666666667],PARAMETER[""standard_parallel_2"",36.76666666666667],PARAMETER[""latitude_of_origin"",36.33333333333334],PARAMETER[""central_meridian"",-78.5],PARAMETER[""false_easting"",3500000],PARAMETER[""false_northing"",1000000],UNIT[""Meter"",1]]"
2855,"PROJCS[""NAD83_HARN_Washington_North"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",48.73333333333333],PARAMETER[""standard_parallel_2"",47.5],PARAMETER[""latitude_of_origin"",47],PARAMETER[""central_meridian"",-120.8333333333333],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2856,"PROJCS[""NAD83_HARN_Washington_South"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",47.33333333333334],PARAMETER[""standard_parallel_2"",45.83333333333334],PARAMETER[""latitude_of_origin"",45.33333333333334],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2857,"PROJCS[""NAD83_HARN_West_Virginia_North"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",40.25],PARAMETER[""standard_parallel_2"",39],PARAMETER[""latitude_of_origin"",38.5],PARAMETER[""central_meridian"",-79.5],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2858,"PROJCS[""NAD83_HARN_West_Virginia_South"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",38.88333333333333],PARAMETER[""standard_parallel_2"",37.48333333333333],PARAMETER[""latitude_of_origin"",37],PARAMETER[""central_meridian"",-81],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2859,"PROJCS[""NAD83_HARN_Wisconsin_North"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",46.76666666666667],PARAMETER[""standard_parallel_2"",45.56666666666667],PARAMETER[""latitude_of_origin"",45.16666666666666],PARAMETER[""central_meridian"",-90],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2860,"PROJCS[""NAD83_HARN_Wisconsin_Central"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",45.5],PARAMETER[""standard_parallel_2"",44.25],PARAMETER[""latitude_of_origin"",43.83333333333334],PARAMETER[""central_meridian"",-90],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2861,"PROJCS[""NAD83_HARN_Wisconsin_South"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",44.06666666666667],PARAMETER[""standard_parallel_2"",42.73333333333333],PARAMETER[""latitude_of_origin"",42],PARAMETER[""central_meridian"",-90],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2862,"PROJCS[""NAD83_HARN_Wyoming_East"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",40.5],PARAMETER[""central_meridian"",-105.1666666666667],PARAMETER[""scale_factor"",0.9999375],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2863,"PROJCS[""NAD83_HARN_Wyoming_East_Central"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",40.5],PARAMETER[""central_meridian"",-107.3333333333333],PARAMETER[""scale_factor"",0.9999375],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",100000],UNIT[""Meter"",1]]"
2864,"PROJCS[""NAD83_HARN_Wyoming_West_Central"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",40.5],PARAMETER[""central_meridian"",-108.75],PARAMETER[""scale_factor"",0.9999375],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2865,"PROJCS[""NAD83_HARN_Wyoming_West"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",40.5],PARAMETER[""central_meridian"",-110.0833333333333],PARAMETER[""scale_factor"",0.9999375],PARAMETER[""false_easting"",800000],PARAMETER[""false_northing"",100000],UNIT[""Meter"",1]]"
2866,"PROJCS[""NAD83_HARN_Puerto_Rico_and_Virgin_Is"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",18.43333333333333],PARAMETER[""standard_parallel_2"",18.03333333333333],PARAMETER[""latitude_of_origin"",17.83333333333333],PARAMETER[""central_meridian"",-66.43333333333334],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",200000],UNIT[""Meter"",1]]"
2867,"PROJCS[""NAD83_HARN_Arizona_East_ft"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-110.1666666666667],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",700000],PARAMETER[""false_northing"",0],UNIT[""Foot"",0.3048]]"
